"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
21,"Effect of Use of DryNites Absorbent Pants on the Rate of Spontaneous Resolution of Paediatric Nocturnal Enuresis (NE)","Recruiting","No Results Available","Nocturnal Enuresis","Device: DryNites Pyjama Pants","Aalborg Universitetshospital, Borne og Ungeafdelingen, Aalborg, Connor Downs, United Kingdom|Aarhus Universitetshospital, Center for Borneinkontinens, Arhus N, Connor Downs, United Kingdom|UZ Gent, Ghent, Connor Downs, United Kingdom|Mounts Bay Medical, Connor Downs, United Kingdom|Essex Partnership University NHS Foundation Trust, Essex, United Kingdom|Siddarth Marnekar, Hull, United Kingdom","https://ClinicalTrials.gov/show/NCT04620356"
22,"Basic Bladder Advice and Alarm Therapy in Nocturnal Enuresis","Completed","No Results Available","Nocturnal Enuresis","Device: Enurad 400|Behavioral: Basic Bladder advice","Center for Clinical Research Dalarna, Falun, Sweden","https://ClinicalTrials.gov/show/NCT03812094"
23,"The Safety and Efficacy of Fluoxetine for Refractory Primary Mono-symptomatic Nocturnal Enuresis in Children","Recruiting","No Results Available","Nocturnal Enuresis","Drug: Fluoxetine|Drug: Placebo","Mansoura urology and nephrology center, Mansoura, Dakahlia, Egypt","https://ClinicalTrials.gov/show/NCT04676139"
24,"The Effect of Melatonin on Nocturnal Enuresis","Unknown status","No Results Available","Nocturnal Enuresis","Drug: Melatonin|Drug: Lactose","Center of Child Incontinence, Pediatric department, Aarhus Universityhospital, Aarhus, Region Midtjylland, Denmark","https://ClinicalTrials.gov/show/NCT01575678"
25,"A Clinical Study on Causticum 200 Centesimal Potency in Primary Enuresis","Unknown status","No Results Available","Bed Wetting|Primary Enuresis","Drug: Homoeopathic Medicine causticum 200c","Father Muller Homoeopathic Medical College, Mangalore, Karnataka, India","https://ClinicalTrials.gov/show/NCT02154152"
26,"The Effect of Indomethacin in Monosymptomatic Enuresis Nocturnal","Completed","No Results Available","Enuresis","Drug: Indomethacin","Dept of Pediatrics, Aarhus University Hospital, Aarhus N, Jutland, Denmark","https://ClinicalTrials.gov/show/NCT00226122"
27,"Alarm Treatment for Combined Enuresis and Daytime Urinary Incontinence in Children","Recruiting","No Results Available","Incontinence, Urinary|Enuresis, Nocturnal|Enuresis","Device: Enuresis Alarm Rodger and Timer watch (Rodger)|Device: Timer watch (Rodger)","Dept pediatrics, Aalborg University Hospital, Aalborg, Denmark|dept Pediatrics, Aarhus University Hospital, Aarhus N, Denmark|Børneafdelingen, Herning, Herning, Denmark|Dept pediatrics, North Denmark Regional Hospital Hjoerring Hjoerring, Hjørring, Denmark","https://ClinicalTrials.gov/show/NCT04260646"
28,"Desmopressin for Improving Nocturnal Enuresis in Patients After Radical Cystectomy With Bladder Reconstruction","Unknown status","No Results Available","Nocturnal Enuresis","Drug: Desmopressin","Institute of Urology, Rabin Medical Cetner, Petah Tiqva, Petach Tiqva, Israel","https://ClinicalTrials.gov/show/NCT01582542"
29,"Biomarkers in Urine for Children With Monosymptomatic Nocturnal Enuresis and Nocturnal Polyuria","Recruiting","No Results Available","Nocturnal Enuresis","Diagnostic Test: Urine collection through a collecting device (Uridom®) for maximum 1 week","Department of Paediatrics and Adolescent Medicine, Aarhus University Hospital, Aarhus, Jylland, Denmark","https://ClinicalTrials.gov/show/NCT04049019"
30,"MINRIN® Orally Disintegrating Tablet (Fast Dissolving Desmopressin) and Tablets in Treatment of Primary Nocturnal Enuresis","Completed","No Results Available","Nocturnal Enuresis",,"Investigational Site, Bad Bergzabern, Germany|Investigational Site, Kaiserdamm 26, Berlin, Germany|Investigational Site, Mahlsdorfer Straße 39-40, Berlin, Germany|Investigational Site, Neckarstrasse 7, Berlin, Germany|Investigational Site, Potsdamer Chussee 80, Berlin, Germany|Investigational Site, Bingen, Germany|Investigational Site, Zossener Damm 42, Blankenfelde, Germany|Investigational Site , An der Ziegelei 8, Bonn, Germany|Investigational Site, Reichsstraße 51, Bonn, Germany|Investigational Site, Brackenheim, Germany|Investigational Site, Brunsbüttel, Germany|Investigational Site, Crailsheim, Germany|Investigational Site, Dresden, Germany|Investigational Site, Duisburg, Germany|Investigational Site, Suitberutsstraße 31, Düsseldorf, Germany|Investigational Site, Westfalenstraße 26, Düsseldorf, Germany|Investigational Site, Düsseldorf, Germany|Investigational Site, Erfurt, Germany|Investigational Site, Espelkamp, Germany|Investigational Site, Ettenheim, Germany|Investigational Site, Forchheim, Germany|Investigational Site, Frankfurt / Main, Germany|Investigational Site, Friedberg, Germany|Investigational Site, Fulda, Germany|Investigational Site, Gelsenkirchen, Germany|Investigational Site, Germering, Germany|Investigational Site, Gernsbach, Germany|Investigational Site, Gilching, Germany|Investigational Site, Groß-Umstadt, Germany|Investigational Site, Großenhain, Germany|Investigational Site, Großröhrsdorf, Germany|Investigational Site, Görlitz, Germany|Investigational Site, Hammelburg, Germany|Investigational Site, Hannover, Germany|Investigational Site, Harsewinkel-Greffen, Germany|Investigational Site, Homburg/Saar, Germany|Investigational Site, Hürth, Germany|Investigational Site, Hüttenberg, Germany|Investigational Site, Itzehoe, Germany|Investigational Site, Karlsruhe, Germany|Medical Faculty of University Clinic - Schwanenweg 20, Kiel, Germany|Investigational Site, Neue Linner Straße 77, Krefeld, Germany|Investigational Site, Köln, Germany|Investigational Site, Königswinter-Oberpl., Germany|Investigational Site, Langerwehe, Germany|Investigational Site, Lehrte, Germany|Investigational Site, Lengerich, Germany|Investigational Site, Leverkusen-Schlebusch, Germany|Investigational Site, Minden, Germany|Investigational Site, Mutzschen, Germany|Investigational Site, Mönchengladbach, Germany|Investigational Site, Neu Wulmstorf, Germany|Investigational Site, Neumünster, Germany|Investigational Site, Oberhausen, Germany|Investigational Site, Oederan, Germany|Investigational Site, Waldstraße 43, Offenbach am Main, Germany|Investigational Site, Offenbach, Germany|Investigational Site, Oldenburg, Germany|Investigational Site, Ottobrunn, Germany|Investigational Site, Potsdam, Germany|Investigational Site, Rothenburg, Germany|Investigational Site, Rottweil, Germany|Investigational Site, Rüsselsheim, Germany|Investigational Site, Schopfheim, Germany|Investigational Site, Schwabach, Germany|Investigational Site, Strausberg, Germany|Investigational Site, Traunstein, Germany|Investigational Site, Trittau, Germany|Investigational Site, Varel, Germany|Investigational Site, Wertheim, Germany|Investigational Site, Wiefelstede, Germany|Investigational Site, Wilkau-Haßlau, Germany|Investigational Site, Wuppertal, Germany","https://ClinicalTrials.gov/show/NCT01368913"
31,"Sleep Architecture in Valproate-induced Nocturnal Enuresis in Primary School and Preschool Children.","Completed","No Results Available","Epilepsy|Nocturnal Enuresis","Other: Clinical, EEG and laboratory assessment at presentation|Drug: Valproate","Mansoura University Hospital, Mansoura, Egypt","https://ClinicalTrials.gov/show/NCT04191863"
32,"Study With Two Different Doses of Desmopressin Orally Lyophilisate Tablet With Nocturnal Enuresis","Completed","Has Results","Nocturnal Enuresis","Drug: Desmopressin|Drug: Placebo","Showa Hospital, Amagasaki, Hyogo, Japan|Shinko-Kakogawa Hospital, Kakogawa, Hyogo, Japan|Tamura Children's Clinic, Mito, Ibaraki, Japan|Shinbo Child Clinic, Yokohama, Kanagawa, Japan|Kansai Medical University Hirakata Hospital, Hirakata, Osaka, Japan|Takesue Children's Clinic, Musashino, Tokyo, Japan|Juntendo University Nerima Hospital, Nerima, Tokyo, Japan|Saitoh Pediatric Medical Clinic, Nishi-Tokyo, Tokyo, Japan|Hoashi Children's Psychological Clinic, Setagaya, Tokyo, Japan|Akita University Hospital, Akita, Japan|Hiroshima Red Cross Hospital and Atomic Bomb Survivors Hospital, Hiroshima, Japan|Aikawa Station Clinic, Niigata, Japan|Kitano Hospital, Osaka, Japan|Saitama Childrens Medical Centre, Saitama, Japan|Shintoshin Child Clinic, Saitama, Japan","https://ClinicalTrials.gov/show/NCT01078753"
33,"Copeptin for Prediction of Treatment Response in Children With Monosymptomatic Nocturnal Enuresis (MEN).","Completed","No Results Available","Nocturnal Enuresis","Other: blood sampling","University Hospital Basel, Basel, Basel-Stadt, Switzerland","https://ClinicalTrials.gov/show/NCT02621736"
34,"Family Help Program: Nighttime Enuresis Treatment Program","Completed","No Results Available","Enuresis","Behavioral: FHP Night time ENuresis Intervention","IWK Health Centre, Halifax, Nova Scotia, Canada","https://ClinicalTrials.gov/show/NCT00270621"
35,"Treatment of Enuresis Nocturna by Circular Muscle Exercise (Paula Method)","Unknown status","No Results Available","Monosymptomatic Enuresis Nocturna","Drug: Desmopresin|Behavioral: Paula Method of Circular Muscle Exercise","Campus Rabin, Petach- Tikva, Israel|Campus Golda Hospital, Petach-Tikva, Israel","https://ClinicalTrials.gov/show/NCT00404638"
36,"Urotherapy vs. Urotherapy With Constipation Treatment for Nocturnal Enuresis","Withdrawn","No Results Available","Nocturnal Enuresis","Drug: Polyethylene glycol 3350|Behavioral: Constipation behavioral therapy|Behavioral: Urotherapy","Institute of Gastroenterology, Nutrition and Liver Diseases; Schneider Children's Medical Center of Israel, Petach Tikva, Israel","https://ClinicalTrials.gov/show/NCT02337413"
37,"Randomized Study Of Novel Enuresis Alarm vs Standard Bedwetting Alarm","Recruiting","No Results Available","Bedwetting|Nocturnal Enuresis|Urinary Incontinence","Device: gogoband|Device: SNEA group","Yale New Haven Health, New Haven, Connecticut, United States","https://ClinicalTrials.gov/show/NCT05214131"
38,"Ganglion Cell Thickness in Enuresis Nocturna","Recruiting","No Results Available","Enuresis, Nocturnal|Ganglion|Circadian Rhythm Disorders",,"Bakircay University, Izmir, Turkey","https://ClinicalTrials.gov/show/NCT05126732"
39,"A 6-week Open Label Cross-over Study With 2 Different Daily Doses of Minirin® Oral Lyophilisate in Children and Adolescents With Primary Nocturnal Enuresis (PNE)","Completed","No Results Available","Primary Nocturnal Enuresis","Drug: MINIRIN Oral Lyophilisate|Drug: Minirin tablet","Service de Chirurrgie Viscerale Pediatrique Hospital Necker-Enfants Malades, Paris, France","https://ClinicalTrials.gov/show/NCT00209261"
40,"Sleep and Nocturnal Enuresis: Ambulatory Polysomnographic Study","Unknown status","No Results Available","Nocturnal Enuresis|Polysomnography","Device: Polysomnography (Full sleep registration)","Department of Pediatrics and Adolescent Medicine, Aarhus University Hospital, Aarhus, Aarhus N, Denmark","https://ClinicalTrials.gov/show/NCT03477812"
41,"Pilot Study: Foot Neuromodulation for Nocturnal Enuresis in Children","Withdrawn","No Results Available","Bedwetting","Device: NewTENS Design",,"https://ClinicalTrials.gov/show/NCT02747810"
42,"Desmopressin for Bedwetting in Children With SCD","Recruiting","No Results Available","Nocturnal Enuresis|Anemia, Sickle Cell","Drug: Desmopressin","Children's Hospital at Montefiore, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT04420585"
43,"Transcutaneous Electric Nerve Stimulation (TENS) in Children With Enuresis","Completed","No Results Available","Enuresis|Nocturnal Enuresis|Urinary Incontinence","Device: Transcutaneous Electric Nerve Stimulation (TENS) - active|Device: Transcutaneous Electric Nerve Stimulation (TENS) - placebo","Aarhus University Hospital, Skejby, Aarhus N, Denmark","https://ClinicalTrials.gov/show/NCT02600676"
44,"Desmopressin as a Therapy for Bedwetting in Children With Sickle Cell Disease","Terminated","No Results Available","Nocturnal Enuresis|Anemia, Sickle Cell","Drug: Desmopressin","Children's Hospital at Montefiore, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT02636387"
45,"Overactive Bladder Syndrome","Completed","No Results Available","Overactive Bladder Syndrome|Enuresis, Nocturnal","Other: basicly","Hisar Intercontinental Hospital, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT05151081"
46,"The Effect of Methylphenidate on Primary Enuresis in Children With Attention Deficit Hyperactivity Disorder","Unknown status","No Results Available","Attention Deficit Hyperactivity Disorder|Enuresis","Drug: methylphenidate","Meir Medical Center, Kfar Saba, Israel","https://ClinicalTrials.gov/show/NCT02699528"
47,"A Double-blind Randomized Clinical Trial on the Efficacy of Magnetic Sacral Roots Stimulation for the Treatment of NE","Completed","No Results Available","Nocturnal Enuresis","Device: rSMS in treatment of Nocturnal Enuresis",,"https://ClinicalTrials.gov/show/NCT02328092"
48,"MyPad - Intelligent Bladder Pre-void Alerting System","Recruiting","No Results Available","Enuresis, Nocturnal|Enuresis","Device: MyPad","Lancashire Teaching Hospitals NHS Foundation Trust, Preston, United Kingdom","https://ClinicalTrials.gov/show/NCT04280887"
49,"Study on Chinese and Western Medicine in MNE Children","Completed","No Results Available","Monosymptomatic Nocturnal Enuresis","Drug: Desmopressin|Drug: Suoquan","Children's hospital of Fudan university, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT03733873"
50,"Desmopressin Response in the Young","Completed","No Results Available","Primary Nocturnal Enuresis","Drug: desmopressin|Drug: placebo","IWK Health Centre, Halifax, Nova Scotia, Canada|The Male Health Centres, Barrie, Ontario, Canada|Cambridge Family Medical Centre, Cambridge, Ontario, Canada|Private Clinic, London, Ontario, Canada|Quest Clinical Trials Inc., Markham, Ontario, Canada|Private Clinic, North Bay, Ontario, Canada|The Male Health Centres, Oakville, Ontario, Canada|Markham Place Med Centre, Thornhill, Ontario, Canada|The Kids Clinic, Whitby, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00230594"
51,"Intranasal Steroids for the Treatment of Nocturnal Enuresis With Associated Obstructive Sleep Apnea","Withdrawn","No Results Available","Enuresis|Obstructive Sleep Apnea|Sleep Disordered Breathing","Device: Bed Alarm|Drug: Nasonex","Stollery Children's Hospital, Edmonton, Alberta, Canada|Synergy Respiratory Care Centre, Sherwood Park, Alberta, Canada","https://ClinicalTrials.gov/show/NCT01861145"
52,"Desmopressin Melt: Impact on Sleep and Daytime Functioning","Completed","No Results Available","Monosymptomatic Nocturnal Enuresis.","Drug: Desmopressin lyophilisate (Melt)","Ghent University Hospital, Ghent, Belgium","https://ClinicalTrials.gov/show/NCT01645475"
53,"A Study on Accuracy Improvement of Repeated Measure Uroflowmetry- Electromyography","Unknown status","No Results Available","Enuresis","Biological: Combining electromyography with uroflowmetry (group A)|Biological: Uroflowmetry(Group B)|Biological: Uroflowmetry-Combining electromyography with uroflowmetry (Group C)","Department of Urology,, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT03399877"
54,"Effect of Laser Acupuncture for Treating Monosymptomatic Nocturnal Enuresis in Adolescent Females","Not yet recruiting","No Results Available","Non-Specific Urethritis","Device: infrared (gallium aluminum arsenide laser)|Drug: medical treatment(desmopressin acetate)",,"https://ClinicalTrials.gov/show/NCT05399173"
55,"Pharmacokinetics and Pharmacodynamics of Desmopressin Oral Lyophilisate Formulation in the Paediatric Population","Completed","No Results Available","Monosymptomatic Nocturnal Enuresis","Drug: desmopressin","Ghent University Hospital - Department of Paediatric Nephrology, Ghent, Belgium","https://ClinicalTrials.gov/show/NCT02584231"
56,"Evaluation of Nocturnal Enuresis and Barriers to Treatment Among Pediatric Patients With Sickle Cell Disease","Completed","No Results Available","Sickle Cell Disease","Other: Questionnaire/Interview","St. Jude Children's Research Hospital, Memphis, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01959958"
57,"Urotherapy vs. Urotherapy With Constipation Treatment for Children With Lower Urinary Tract Dysfunction","Withdrawn","No Results Available","Diurnal Enuresis","Drug: polyethylene glycol 3350|Behavioral: Constipation behavioral therapy|Behavioral: Urotherapy","Institute of Gastroenterology, Nutrition, and Liver Diseases; Schneider Children's Medical Center of Israel, Petach Tikva, Israel","https://ClinicalTrials.gov/show/NCT02336906"
58,"Toilet Training Toddlers and Preschoolers","Completed","Has Results","Incontinence|Enuresis","Behavioral: Underwear/Differential Reinforcement","Edna A. Hill Child Development Center at the University of Kansas, Lawrence, Kansas, United States","https://ClinicalTrials.gov/show/NCT01747343"
59,"Voiding School as a Treatment of Children's Day-time Incontinence or Enuresis","Withdrawn","No Results Available","Daytime Wetting|Enuresis|Functional Incontinence","Behavioral: Voiding school","Child welfare clinics, Helsinki, Finland","https://ClinicalTrials.gov/show/NCT03478813"
60,"Influence of Food-intake on Desmopressin Oral Tablets and MELT-formulation","Completed","No Results Available","Enuresis|Polyuria","Drug: desmopressin tablet|Drug: desmopressin MELT formulation","University Hospital Ghent, Ghent, Belgium","https://ClinicalTrials.gov/show/NCT01036841"
61,"Diuretic Effect Evaluation of Petroselinum Crispum (Parsley) in Hypertensive Patients","Withdrawn","No Results Available","Diurnal Enuresis|Hypertension","Other: Natural Product Petroselinum crispum (Parsley)|Other: Placebo","College of Clinical Pharmacy, Dammam, Eastern Province, Saudi Arabia|FAMCO, Khobar, Eastern, Saudi Arabia","https://ClinicalTrials.gov/show/NCT03468361"
62,"Investigation of Teacher-Mediated Toilet Training Using a Manualized Moisture Alarm Intervention","Completed","No Results Available","Autistic Disorder|Enuresis","Behavioral: Moisture Pager Intervention for Toilet Training|Behavioral: Standard of Care","University of Rochester Medical Center, Rochester, New York, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Whitney Loring, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT02369445"
63,"Development of a Manualized Wireless Moisture Pager Intervention for Teaching Toileting in Children With Autism","Completed","No Results Available","Autism|Enuresis|Incontinence","Device: Wireless Moisture Pager (WMP)","University of Rochester Medical Center, Rochester, New York, United States|Nationwide Children's Hospital, Columbus, Ohio, United States|Whitney Loring, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT01978210"
64,"A Study to Compare the Pharmacokinetic Profiles of Etravil® Tablet 10mg and Etravil® Tablet 25mg","Completed","Has Results","Depression|Depressive State|Enuresis","Drug: DWETR10|Drug: DWETR25","Chonbuk National University Hospital., Jeonju-si, Jeollabuk-do, Korea, Republic of","https://ClinicalTrials.gov/show/NCT01367080"
65,"The Effect of Gender on Antidiuresis - Evaluated by Graded Low Dose Desmopressin Infusion","Completed","No Results Available","Gender Difference in V2 Receptor Function in Response to dDAVP Infusion|Nocturia|Nocturnal Enuresis","Drug: dDAVP infusion","Aarhus University Hospital, Aarhus, Denmark","https://ClinicalTrials.gov/show/NCT02068560"
66,"Impact of Behavioral Treatment of Insomnia on Nighttime Urine Production","Completed","No Results Available","Sleep Fragmentation|Poor Quality Sleep|Nocturia|Nocturnal Enuresis","Behavioral: Brief behavioral treatment of insomnia (BBTI)|Behavioral: Information-only control (IC)","University of Pittsburgh, Pittsburgh, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03883724"
67,"Safety and Applicability Study of a Novel Heat Flow Sensor Unit for Measuring Urinary Bladder Capacity","Unknown status","No Results Available","Overactive Bladder|Urge Urinary Incontinence|Enuresis|Self Clean Intermittent Catheterization",,"Rambam Healthcare Campus, Haifa, Northern region, Israel","https://ClinicalTrials.gov/show/NCT00437528"
68,"Treatment of Persistent Urinary Incontinence in Children","Completed","No Results Available","Urinary Incontinence","Procedure: Surgery|Procedure: Medical Treatment","Children's and Women's Health Centre of British Columbia, Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT00124046"
69,"Mebeverine For 1st Year Daytime And Nocturnal Incontinence After Orthotopic W-Ileal Neobladders","Completed","No Results Available","Oncology|Incontinence|Incontinence, Daytime Urinary|Incontinence, Nighttime Urinary|Bladder Cancer|Orthotopic Neobladder","Drug: Coloverin|Drug: Placebo","Urology and Nephrology Center, Mansoura, Aldakahlia, Egypt","https://ClinicalTrials.gov/show/NCT03147599"
70,"A Comparison of Tolterodine and Placebo Treatments on Nocturnal Frequency and Sleep Quality in Women After Menopause.","Terminated","Has Results","Urinary Incontinence","Drug: tolterodine","Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham & Women's Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT00323635"
71,"In-person Focus Groups in the Management of Urinary Incontinence in Women","Completed","No Results Available","Urinary Incontinence","Other: Support Group","Mayo Clinic in Arizona, Scottsdale, Arizona, United States","https://ClinicalTrials.gov/show/NCT05395793"
72,"A Study of Incoxil Food Supplement in Female Patients With Stress Dominant Urinary Incontinence.","Recruiting","No Results Available","Urinary Incontinence","Dietary Supplement: Incoxil food supplement and pelvic floor muscle exercise|Other: Pelvic floor muscle exercise","Dr. Secret Private Clinic, Debrecen, HB, Hungary","https://ClinicalTrials.gov/show/NCT05358769"
73,"Investigation of the Relationship Between Pelvic Floor Awareness and Urinary Incontinence","Recruiting","No Results Available","Pelvic Floor|Urinary Incontinence|Young Athletes","Diagnostic Test: Pelvic Floor Health Knowledge Quiz","Suleyman Demirel University, Isparta, Turkey","https://ClinicalTrials.gov/show/NCT05356832"
74,"The Efficacy of Therapeutic Exercises Delivered by Smartphone Application","Not yet recruiting","No Results Available","Urinary Incontinence","Other: Smartphone application|Other: Sham Smartphone application","King Abdullah University Hospital, Irbid, Jordan","https://ClinicalTrials.gov/show/NCT05347472"
75,"Effects of Pilates Exercises Versus Pelvic Floor Muscle Exercises Among Elderly Women With Urinary Incontinence","Recruiting","No Results Available","Urinary Incontinence","Other: Shoulder bridge|Other: Clam shell|Other: Scissors|Other: Adductor squeeze|Other: Pelvic clock supine|Other: urine hold and tummy tuck in|Other: Bridging|Other: Split table top|Device: Electrical muscle stimulation","Humera Ahmed, Karachi, Sindh, Pakistan","https://ClinicalTrials.gov/show/NCT05341778"
76,"Clinical Evaluation of Combined Treatment With Bi-Polar Radio-Frequency and Electrical Muscle Stimulation for Symptoms of Mixed Urinary Incontinence (MUI)","Recruiting","No Results Available","Urinary Incontinence","Device: FormaV and VTone","Advanced Women's Care of the Lowcountry, PC, Bluffton, South Carolina, United States|Lisa M Jukes MD, W. Lake Hills, Texas, United States","https://ClinicalTrials.gov/show/NCT05287490"
77,"Urethral Functional Profile Length Before Radical Prostatectomy as an Early Postoperative Continence Predictor","Completed","No Results Available","Urinary Incontinence","Procedure: Profilometry","UHC Zagreb, Zagreb, Croatia","https://ClinicalTrials.gov/show/NCT05247775"
